otu	sample	abundance	participant_id	study_week	semester	supplement_consumed	frequency	final_weight	phylum	class	order	family	genus
sv-340:U763-8_S343_L001_001	U261_2	0.0010626992561105207	U261	week1	Fall2016	BRMPS	1xdaily	0.59	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U188_1	0.0010626992561105207	U188	week1	Winter2016	BRMPS	2xdaily	0.34	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U224_1	0.001053740779768177	U224	week1	Fall2016	BRMPS	1xdaily	0.49	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U261_4	0.0010504201680672268	U261	week3	Fall2016	BRMPS	1xdaily	0.47	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U224_2	0.001049317943336831	U224	week1	Fall2016	BRMPS	1xdaily	0.8	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U542_3	0.0010471204188481676	U542	week1	Winter2018	BRMPS	2xdaily	0.58	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U271_5	0.0010449320794148381	U271	week3	Fall2016	BRMPS	1xdaily	0.46	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U261_5	0.0010438413361169101	U261	week3	Fall2016	BRMPS	1xdaily	0.54	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-340:U763-8_S343_L001_001	U510_2	0.0010204081632653062	U510	week1	Winter2018	BRMPS	2xdaily	0.54	Actinobacteria <actinobacteria>	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia
sv-100:U710-5_S262_L001_001	U500_2	0.029504741833508957	U500	week1	Winter2018	BRMPS	2xdaily	0.49	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U161_8	0.02920443101711984	U161	week3	Winter2016	BRMPS	2xdaily	0.42	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U129_8	0.027055150884495317	U129	week3	Winter2016	BRMPS	2xdaily	0.71	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U500_3	0.02074235807860262	U500	week1	Winter2018	BRMPS	2xdaily	NA	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U507_3	0.017421602787456445	U507	week1	Winter2018	BRMPS	2xdaily	NA	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U202_2	0.01701093560145808	U202	week1	Winter2016	BRMPS	2xdaily	0.42	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U502_3	0.01694915254237288	U502	week1	Winter2018	BRMPS	2xdaily	0.3	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U518_2	0.015384615384615385	U518	week1	Winter2018	BRMPS	2xdaily	0.3	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U273_2	0.015267175572519083	U273	week1	Fall2016	BRMPS	1xdaily	0.4	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U231_1	0.01406799531066823	U231	week1	Fall2016	BRMPS	1xdaily	0.47	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U519_2	0.013574660633484163	U519	week1	Winter2018	BRMPS	2xdaily	0.48	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U185_1	0.013513513513513514	U185	week1	Winter2016	BRMPS	2xdaily	0.67	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U185_5	0.012987012987012988	U185	week3	Winter2016	BRMPS	2xdaily	0.33	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U519_6	0.012987012987012988	U519	week3	Winter2018	BRMPS	2xdaily	0.46	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U542_2	0.012539184952978056	U542	week1	Winter2018	BRMPS	2xdaily	0.63	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
sv-100:U710-5_S262_L001_001	U507_2	0.01245753114382786	U507	week1	Winter2018	BRMPS	2xdaily	0.59	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum
